nm, P, As
0, 73.452, 26.548
0.522651, 79.7385, 20.2615
1.0453, 77.6313, 22.3687
1.56795, 82.477, 17.523
2.09061, 79.8181, 20.1819
2.61326, 69.5576, 30.4424
3.13591, 88.392, 11.608
3.65856, 87.034, 12.966
4.18121, 84.2643, 15.7357
4.70386, 79.3039, 20.6961
5.22651, 87.551, 12.449
5.74917, 78.8494, 21.1506
6.27182, 79.1512, 20.8488
6.79447, 72.1875, 27.8125
7.31712, 78.1605, 21.8395
7.83977, 76.7486, 23.2514
8.36242, 76.9768, 23.0232
8.88507, 81.9845, 18.0155
9.40773, 71.9074, 28.0926
9.93038, 77.0433, 22.9567
10.453, 76.9826, 23.0174
10.9757, 82.25, 17.75
11.4983, 75.0693, 24.9307
12.021, 79.1682, 20.8318
12.5436, 82.3892, 17.6108
13.0663, 84.1093, 15.8907
13.5889, 64.5395, 35.4605
14.1116, 71.9201, 28.0799
14.6342, 77.8157, 22.1843
15.1569, 79.4189, 20.5811
15.6795, 89.6779, 10.3221
16.2022, 83.3837, 16.6163
16.7248, 84.5981, 15.4019
17.2475, 73.8615, 26.1385
17.7701, 74.8221, 25.1779
18.2928, 56.8345, 43.1655
18.8155, 76.5399, 23.4601
19.3381, 65.5537, 34.4463
19.8608, 74.5282, 25.4718
20.3834, 81.4859, 18.5141
20.9061, 74.8063, 25.1937
21.4287, 63.3675, 36.6325
21.9514, 70.2597, 29.7403
22.474, 79.1424, 20.8576
22.9967, 77.5624, 22.4376
23.5193, 87.0093, 12.9907
24.042, 85.1661, 14.8339
24.5646, 67.882, 32.118
25.0873, 69.7643, 30.2357
25.6099, 60.4369, 39.5631
26.1326, 40.4848, 59.5152
26.6552, 28.9793, 71.0207
27.1779, 9.16083, 90.8392
27.7005, 9.75186, 90.2481
28.2232, 32.1034, 67.8966
28.7458, 14.8976, 85.1024
29.2685, 19.98, 80.02
29.7911, 21.7137, 78.2863
30.3138, 10.2559, 89.7441
30.8364, 21.1293, 78.8708
31.3591, 0, 100
31.8817, 14.6112, 85.3888
32.4044, 11.9772, 88.0228
32.927, 11.9583, 88.0417
33.4497, 11.6585, 88.3415
33.9723, 14.4536, 85.5464
34.495, 2.18767, 97.8123
35.0176, 0, 100
35.5403, 22.2466, 77.7534
36.063, 13.7242, 86.2757
36.5856, 9.90568, 90.0943
37.1083, 10.1069, 89.8931
37.6309, 17.3702, 82.6298
38.1536, 18.9608, 81.0392
38.6762, 28.5218, 71.4782
39.1989, 26.2472, 73.7528
39.7215, 46.7069, 53.2931
40.2442, 68.5312, 31.4688
40.7668, 52.533, 47.467
41.2895, 77.2393, 22.7607
41.8121, 66.6645, 33.3355
42.3348, 65.6907, 34.3093
42.8574, 70.104, 29.896
43.3801, 68.0986, 31.9014
43.9027, 64.9367, 35.0633
44.4254, 75.0418, 24.9582
44.948, 70.5502, 29.4498
45.4707, 71.6185, 28.3815
45.9933, 74.6241, 25.3759
46.516, 66.8684, 33.1316
47.0386, 71.8237, 28.1763
47.5613, 76.5329, 23.4671
48.0839, 74.8889, 25.1111
48.6066, 81.2355, 18.7645
49.1292, 80.0859, 19.9141
49.6519, 76.5744, 23.4256
50.1745, 79.5599, 20.4401
50.6972, 85.8824, 14.1176
51.2198, 76.0482, 23.9518
51.7425, 84.6063, 15.3937
52.2651, 75.3151, 24.6849
52.7878, 75.21, 24.79
53.3104, 84.2247, 15.7753
53.8331, 89.3674, 10.6326
54.3558, 80.1143, 19.8857
54.8784, 87.0545, 12.9455
55.4011, 79.1777, 20.8223
55.9237, 80.3884, 19.6116
56.4464, 79.1245, 20.8755
56.969, 93.8465, 6.15349
57.4917, 82.1941, 17.8059
58.0143, 74.7964, 25.2036
58.537, 85.2639, 14.7361
59.0596, 85.1429, 14.8571
59.5823, 84.3854, 15.6146
60.1049, 94.0843, 5.91573
60.6276, 72.5962, 27.4038
61.1502, 67.9266, 32.0734
61.6729, 83.5776, 16.4224
62.1955, 86.2039, 13.7961
62.7182, 82.8066, 17.1934
63.2408, 80.185, 19.815
63.7635, 81.6561, 18.3439
64.2861, 79.4412, 20.5588
64.8088, 65.0731, 34.9269
65.3314, 83.055, 16.945
65.8541, 69.0911, 30.9089
66.3767, 72.7434, 27.2566
66.8994, 88.4746, 11.5254
67.422, 79.0084, 20.9916
67.9447, 83.8824, 16.1176
68.4673, 83.817, 16.183
68.99, 70.7673, 29.2327
69.5126, 76.4663, 23.5337
70.0353, 90.4726, 9.52742
70.5579, 88.0526, 11.9474
71.0806, 82.6509, 17.3491
71.6032, 88.9637, 11.0363
72.1259, 81.3152, 18.6848
72.6486, 90.1702, 9.82975
73.1712, 82.1506, 17.8494
73.6939, 87.7606, 12.2394
74.2165, 87.9864, 12.0136
74.7392, 74.508, 25.492
75.2618, 85.2398, 14.7602
75.7845, 75.7869, 24.2131
76.3071, 84.6486, 15.3515
76.8298, 84.382, 15.618
77.3524, 89.3095, 10.6905
77.8751, 83.3107, 16.6893
78.3977, 77.5556, 22.4444
78.9204, 86.2445, 13.7555
79.443, 83.6865, 16.3135
79.9657, 91.4318, 8.56818
80.4883, 82.1802, 17.8198
81.011, 79.3039, 20.6961
81.5336, 86.2346, 13.7654
82.0563, 87.396, 12.604
82.5789, 81.9171, 18.0829
83.1016, 87.9202, 12.0798
83.6242, 89.5586, 10.4414
84.1469, 77.4551, 22.5449
84.6695, 82.1516, 17.8485
85.1922, 81.6112, 18.3888
85.7148, 72.6996, 27.3004
86.2375, 89.0516, 10.9484
86.7601, 84.1591, 15.8409
87.2828, 87.4828, 12.5172
87.8054, 79.3346, 20.6654
88.3281, 89.8433, 10.1567
88.8507, 84.1091, 15.8909
89.3734, 91.8668, 8.13318
89.896, 82.2641, 17.7359
90.4187, 90.4867, 9.51327
90.9414, 76.4671, 23.5329
91.464, 79.84, 20.16
91.9866, 97.1321, 2.86789
92.5093, 65.6647, 34.3353
93.032, 78.2385, 21.7615
93.5546, 94.6427, 5.35729
94.0773, 86.7473, 13.2527
94.5999, 82.3011, 17.6989
95.1226, 78.7212, 21.2788
95.6452, 82.4036, 17.5964
96.1679, 92.3213, 7.67866
96.6905, 76.6506, 23.3494
97.2132, 87.9435, 12.0565
97.7358, 87.503, 12.497
98.2585, 84.7211, 15.2789
98.7811, 90.8242, 9.17582
99.3038, 77.6762, 22.3238
99.8264, 90.8436, 9.15643
100.349, 87.7918, 12.2082
100.872, 88.7114, 11.2886
101.394, 85.2018, 14.7982
101.917, 85.3298, 14.6702
102.44, 76.2564, 23.7436
102.962, 86.7266, 13.2734
103.485, 78.7805, 21.2195
104.008, 83.6617, 16.3383
104.53, 78.8788, 21.1212
105.053, 71.6687, 28.3313
105.576, 78.9087, 21.0913
106.098, 75.1703, 24.8297
106.621, 53.6148, 46.3852
107.144, 22.2407, 77.7593
107.666, 33.6225, 66.3774
108.189, 19.584, 80.416
108.712, 25.583, 74.417
109.234, 23.9456, 76.0544
109.757, 23.4528, 76.5472
110.279, 15.2029, 84.7971
110.802, 22.083, 77.917
111.325, 14.1675, 85.8325
111.847, 18.2434, 81.7566
112.37, 8.1338, 91.8662
112.893, 18.8095, 81.1905
113.415, 21.7171, 78.2829
113.938, 9.07322, 90.9268
114.461, 0, 100
114.983, 15.5682, 84.4318
115.506, 0, 100
116.029, 20.9198, 79.0802
116.551, 4.56873, 95.4313
117.074, 0, 100
117.597, 16.2385, 83.7615
118.119, 31.6758, 68.3242
118.642, 29.7394, 70.2606
119.165, 9.29763, 90.7024
119.687, 32.2391, 67.7609
120.21, 39.5834, 60.4166
120.732, 50.1691, 49.8309
121.255, 42.0899, 57.9101
121.778, 62.9621, 37.0379
122.3, 69.7985, 30.2015
122.823, 67.8228, 32.1772
123.346, 70.0036, 29.9964
123.868, 79.5736, 20.4264
124.391, 66.1678, 33.8321
124.914, 69.238, 30.762
125.436, 61.9823, 38.0177
125.959, 79.197, 20.803
126.482, 68.2722, 31.7278
127.004, 86.7712, 13.2288
127.527, 84.401, 15.599
128.05, 91.968, 8.03201
128.572, 72.5719, 27.4281
129.095, 90.218, 9.78203
129.618, 68.5953, 31.4047
130.14, 78.8923, 21.1077
130.663, 87.2797, 12.7203
131.186, 79.6008, 20.3992
131.708, 79.2262, 20.7738
132.231, 83.4137, 16.5863
132.753, 78.635, 21.365
133.276, 88.6843, 11.3157
133.799, 87.4223, 12.5777
134.321, 86.2951, 13.7049
134.844, 83.322, 16.678
135.367, 93.4913, 6.50868
135.889, 79.2953, 20.7047
136.412, 88.6331, 11.3669
136.935, 77.6205, 22.3795
137.457, 66.1169, 33.8831
137.98, 87.4452, 12.5548
138.503, 69.1944, 30.8056
139.025, 82.612, 17.388
139.548, 70.6675, 29.3325
140.071, 85.4602, 14.5398
140.593, 81.3103, 18.6897
141.116, 89.5275, 10.4725
141.639, 81.3475, 18.6525
142.161, 88.2964, 11.7036
142.684, 89.165, 10.835
143.206, 76.2727, 23.7273
143.729, 91.2391, 8.7609
144.252, 88.7708, 11.2292
144.774, 79.3473, 20.6527
145.297, 82.3352, 17.6648
145.82, 83.8263, 16.1737
146.342, 77.8296, 22.1704
146.865, 83.045, 16.955
147.388, 98.07, 1.92996
147.91, 84.7407, 15.2593
148.433, 87.5992, 12.4008
148.956, 74.3504, 25.6496
149.478, 73.5678, 26.4322
150.001, 81.7214, 18.2786
150.524, 81.1559, 18.8441
151.046, 91.1841, 8.81592
151.569, 91.6893, 8.31066
152.092, 91.1928, 8.80716
152.614, 76.1681, 23.8319
153.137, 86.9969, 13.0031
153.66, 82.5186, 17.4814
154.182, 82.7968, 17.2032
154.705, 82.6266, 17.3734
155.227, 95.6278, 4.37216
155.75, 82.1494, 17.8506
156.273, 75.3553, 24.6447
156.795, 91.1619, 8.83806
157.318, 82.7674, 17.2326
157.841, 94.0719, 5.92809
158.363, 90.3611, 9.6389
158.886, 93.5956, 6.4044
159.409, 75.5975, 24.4025
159.931, 86.3266, 13.6734
160.454, 86.7105, 13.2895
160.977, 96.3367, 3.66335
161.499, 78.0066, 21.9934
162.022, 87.4671, 12.5329
162.545, 89.6531, 10.3469
163.067, 86.7869, 13.2131
163.59, 86.2916, 13.7084
164.113, 89.3398, 10.6602
164.635, 93.6086, 6.39139
165.158, 97.7665, 2.23354
165.681, 80.4029, 19.5971
166.203, 85.9523, 14.0477
166.726, 100, 0
167.248, 87.4228, 12.5772
167.771, 83.6985, 16.3015
168.294, 89.6359, 10.3641
168.816, 89.7697, 10.2303
169.339, 90.7255, 9.27454
169.862, 87.6145, 12.3855
170.384, 89.4879, 10.5121
170.907, 91.1112, 8.88877
171.43, 87.5299, 12.4701
171.952, 89.0283, 10.9717
172.475, 88.184, 11.816
172.998, 86.281, 13.719
173.52, 94.1479, 5.85205
174.043, 77.8299, 22.1701
174.566, 96.7857, 3.21433
175.088, 95.8739, 4.12605
175.611, 93.2589, 6.7411
176.134, 80.0721, 19.9279
176.656, 82.0309, 17.9691
177.179, 90.2369, 9.76307
177.701, 86.4345, 13.5655
178.224, 80.507, 19.493
178.747, 81.053, 18.947
179.269, 86.6116, 13.3884
179.792, 90.6759, 9.32407
180.315, 82.1027, 17.8973
180.837, 93.8804, 6.11963
181.36, 88.0457, 11.9543
181.883, 85.4545, 14.5455
182.405, 70.2283, 29.7717
182.928, 81.2465, 18.7535
183.451, 82.1145, 17.8855
183.973, 76.1762, 23.8238
184.496, 80.8851, 19.1149
185.019, 87.8571, 12.1429
185.541, 84.6671, 15.3329
186.064, 69.8325, 30.1675
186.587, 73.5412, 26.4588
187.109, 71.9, 28.1
187.632, 35.779, 64.221
188.155, 34.8183, 65.1817
188.677, 37.6376, 62.3624
189.2, 21.2943, 78.7057
189.722, 3.89731, 96.1027
190.245, 6.04998, 93.95
190.768, 26.256, 73.744
191.29, 0, 100
191.813, 15.9055, 84.0945
192.336, 14.9273, 85.0727
192.858, 11.8024, 88.1976
193.381, 6.96592, 93.0341
193.904, 4.84079, 95.1592
194.426, 15.3035, 84.6965
194.949, 4.10937, 95.8906
195.472, 6.2314, 93.7686
195.994, 9.9033, 90.0967
196.517, 16.8769, 83.1231
197.04, 13.7271, 86.2729
197.562, 1.51441, 98.4856
198.085, 8.5812, 91.4188
198.608, 12.131, 87.869
199.13, 8.89748, 91.1025
199.653, 12.3803, 87.6197
200.176, 25.6345, 74.3655
200.698, 19.8644, 80.1356
201.221, 39.1506, 60.8494
201.743, 31.9343, 68.0657
202.266, 42.622, 57.378
202.789, 70.5017, 29.4983
203.311, 61.6979, 38.3021
203.834, 66.89, 33.11
204.357, 74.7829, 25.2171
204.879, 83.8061, 16.1939
205.402, 68.9885, 31.0115
205.925, 80.2357, 19.7642
206.447, 60.2938, 39.7062
206.97, 62.0563, 37.9437
207.493, 67.1982, 32.8018
208.015, 71.2285, 28.7715
208.538, 60.346, 39.654
209.061, 64.9155, 35.0845
209.583, 84.0815, 15.9185
210.106, 85.7812, 14.2188
210.629, 72.2087, 27.7913
211.151, 67.7716, 32.2284
211.674, 82.3375, 17.6625
212.196, 75.0474, 24.9526
212.719, 88.3973, 11.6027
213.242, 80.5572, 19.4428
213.764, 81.9778, 18.0223
214.287, 89.8051, 10.1949
214.81, 90.7937, 9.20629
215.332, 71.7648, 28.2352
215.855, 87.9992, 12.0008
216.378, 79.4938, 20.5062
216.9, 74.691, 25.309
217.423, 80.6625, 19.3375
217.946, 83.8386, 16.1614
218.468, 85.4709, 14.5291
218.991, 86.3414, 13.6586
219.514, 87.9874, 12.0126
220.036, 82.2306, 17.7694
220.559, 81.982, 18.018
221.082, 79.6481, 20.3519
221.604, 87.0391, 12.9609
222.127, 77.5316, 22.4684
222.65, 90.9094, 9.09055
223.172, 100, 0
223.695, 92.2836, 7.71642
224.217, 91.4814, 8.51859
224.74, 91.0357, 8.9643
225.263, 88.9822, 11.0178
225.785, 85.4458, 14.5542
226.308, 86.4661, 13.5339
226.831, 100, 0
227.353, 92.5424, 7.45756
227.876, 80.3666, 19.6334
228.399, 93.2039, 6.79608
228.921, 88.3388, 11.6612
229.444, 87.846, 12.154
229.967, 93.0881, 6.91191
